run,arm,avg_ms,p50_ms,p90_ms,p99_ms
1,clusterip,0.583,0.565,0.950,1.80
1,localhost,0.518,0.537,0.924,1.54
2,clusterip,0.586,0.5654,0.9510,1.8063
2,localhost,0.608,0.5443,0.9282,1.6213
3,clusterip,0.627,0.5537,0.9550,1.8307
3,localhost,0.530,0.5429,0.9210,1.4013
