run,arm,avg_ms,p50_ms,p90_ms,p99_ms
2,clusterip,0.586,0.5654,0.9510,1.8063
2,localhost,0.608,0.5443,0.9282,1.6213
3,clusterip,0.627,0.5537,0.9550,1.8307
