cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,checkoutemail,100,100,0,0,6.1,384.8,6.3,0.0,15.9,11,0,821.1,65.7,32.96,5.1,5.8,8.0,640.7,185.2,167.6,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1511.8,0.0,6.299,16
1,checkoutemail,150,150,0,0,8.6,661.6,8.04,0.0,18.7,13,0,1235.2,93.03,54.61,6.5,7.3,9.6,872.9,505.3,540.8,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36000,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
1,checkoutemail,200,200,27,0,11.8,593.3,12.31,0.0,16.2,19,0,1660.9,132.74,71.81,8.5,9.7,12.9,745.4,469.8,527.9,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48000,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2955.6,0.0,12.315,16
1,checkoutemail,250,241.8,4360,0,4584.3,6189.8,12.12,0.0,20.0,18,0,1870.4,146.23,86.39,4529.2,4484.5,4691.0,6095.5,6101.3,6541.9,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,1978,58022,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,2907.6,0.0,12.115,16
1,catalogcheckout,100,100.0,0,0,6.2,467.3,5.98,0.0,16.7,11,0,838.5,65.68,35.07,5.1,5.9,8.1,696.7,247.1,183.2,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
1,catalogcheckout,150,150.0,0,0,8.3,539.7,8.04,0.0,18.7,13,0,1232.6,93.52,53.88,6.4,7.1,9.4,764.9,388.8,340.8,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
1,catalogcheckout,200,200.0,446,0,11.9,633.3,12.78,0.0,15.7,19,0,1645.0,132.75,72.2,8.6,9.8,13.0,819.7,476.4,537.6,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3037.0,0.0,12.654,16
1,catalogcheckout,250,238.5,4599,0,3408.3,7173.4,12.78,0.0,18.7,19,0,1859.5,146.39,88.37,3269.1,3257.6,3589.5,6961.8,7004.5,7725.7,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,2763,57237,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3093.5,0.0,12.889,16
2,normal,100,100.0,0,0,6.2,494.6,5.98,0.0,16.7,12,0,837.1,66.56,33.2,5.1,5.9,8.1,738.0,228.3,190.4,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
2,normal,150,150.0,0,0,8.0,482.2,8.04,0.0,18.7,15,0,1222.5,94.96,51.13,6.2,6.9,9.2,643.0,389.5,312.4,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1929.1,0.0,8.038,16
