cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x
1,frontcatalog,200,200,87,0,9.3,624.3,9.25,0.0,21.6,24,0,7.0503,2.29,0.29,0.0,7.0,8.1,10.9,753.9,557.3,578.1,frontend/server=25%;emailservice/email=4%;frontend/productcatalog=2%,adservice:2 cartservice:3 checkoutservice:3 currencyservice:2 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:3,0
1,frontcatalog,250,250,829,0,12.5,569.8,12.32,0.0,20.3,28,0,8.8192,2.4,0.35,0.1,9.5,11.2,15.9,729.9,256.7,540.0,emailservice/email=30%;frontend/server=5%;frontend/server=4%;frontend/server=3%;adservice/server=2%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:3 redis-cart:1 shippingservice:3,0
2,frontcatalog,200,200,79,0,10.1,685.8,8.8,0.0,22.7,22,0,6.6554,2.21,0.29,0.0,7.4,8.4,11.4,769.6,559.9,680.0,frontend/server=32%;cartservice/server=7%;emailservice/email=3%;frontend/productcatalog=1%;cartservice/server=1%,adservice:2 cartservice:3 checkoutservice:2 currencyservice:2 emailservice:3 frontend:2 paymentservice:3 recommendationservice:2 redis-cart:1 shippingservice:2,0
2,frontcatalog,250,249.6,1209,0,14.3,3121.4,12.32,0.0,20.3,28,0,8.7037,2.31,0.36,0.0,10.8,12.8,18.6,2447.6,2474.4,3571.5,emailservice/email=30%;adservice/server=28%;frontend/server=9%;frontend/server=3%;frontend/server=3%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:3 redis-cart:1 shippingservice:3,0
3,frontcatalog,200,200.0,5,0,235.5,1091.2,8.35,0.0,23.9,20,0,6.356,1.86,0.28,0.0,227.0,236.7,256.3,920.2,806.4,1491.3,frontend/server=72%;paymentservice/payment=24%;emailservice/email=18%;emailservice/email=9%;cartservice/server=7%,adservice:2 cartservice:2 checkoutservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:2 recommendationservice:2 redis-cart:1 shippingservice:2,0
3,frontcatalog,250,250.0,259,0,758.7,1646.3,12.32,0.0,20.3,28,0,8.6963,2.3,0.38,0.0,735.7,724.3,822.7,1105.5,1088.8,1871.6,emailservice/email=30%;frontend/server=5%;frontend/server=4%;paymentservice/payment=4%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:3 frontend:3 paymentservice:3 recommendationservice:3 redis-cart:1 shippingservice:3,0
