cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,150,152,paymentservice,payment,63,2,2,2,0
1,normal,150,152,productcatalogservice,server,53,2,2,2,0
1,normal,150,152,recommendationservice,server,52,2,2,2,0
1,normal,150,152,redis-cart,-,,1,1,1,0
1,normal,150,152,shippingservice,server,57,2,2,2,0
1,normal,150,167,adservice,server,44,2,2,2,0
1,normal,150,167,cartservice,server,66,2,2,2,0
1,normal,150,167,checkoutservice,checkout,58,2,2,2,0
1,normal,150,167,currencyservice,server,61,2,2,2,0
1,normal,150,167,emailservice,email,62,2,2,2,0
1,normal,150,167,frontend,server,55,2,2,2,0
1,normal,150,167,paymentservice,payment,63,2,2,2,0
1,normal,150,167,productcatalogservice,server,53,2,2,2,0
1,normal,150,167,recommendationservice,server,52,2,2,2,0
1,normal,150,167,redis-cart,-,,1,1,1,0
1,normal,150,167,shippingservice,server,59,2,2,2,0
1,normal,150,182,adservice,server,42,2,2,2,0
1,normal,150,182,cartservice,server,68,2,2,2,0
1,normal,150,182,checkoutservice,checkout,58,2,2,2,0
1,normal,150,182,currencyservice,server,62,2,2,2,0
1,normal,150,182,emailservice,email,65,2,2,2,0
1,normal,150,182,frontend,server,55,2,2,2,0
1,normal,150,182,paymentservice,payment,63,2,2,2,0
1,normal,150,182,productcatalogservice,server,53,2,2,2,0
1,normal,150,182,recommendationservice,server,52,2,2,2,0
1,normal,150,182,redis-cart,-,,1,1,1,0
1,normal,150,182,shippingservice,server,57,2,2,2,0
1,normal,150,198,adservice,server,43,2,2,2,0
1,normal,150,198,cartservice,server,67,2,2,2,0
1,normal,150,198,checkoutservice,checkout,56,2,2,2,0
1,normal,150,198,currencyservice,server,60,2,2,2,0
1,normal,150,198,emailservice,email,60,2,2,2,0
1,normal,150,198,frontend,server,54,2,2,2,0
1,normal,150,198,paymentservice,payment,63,2,2,2,0
1,normal,150,198,productcatalogservice,server,53,2,2,2,0
1,normal,150,198,recommendationservice,server,52,2,2,2,0
1,normal,150,198,redis-cart,-,,1,1,1,0
1,normal,150,198,shippingservice,server,57,2,2,2,0
1,normal,150,213,adservice,server,43,2,2,2,0
1,normal,150,213,cartservice,server,58,2,2,2,0
1,normal,150,213,checkoutservice,checkout,52,2,2,2,0
1,normal,150,213,currencyservice,server,59,2,2,2,0
1,normal,150,213,emailservice,email,59,2,2,2,0
1,normal,150,213,frontend,server,54,2,2,2,0
1,normal,150,213,paymentservice,payment,50,2,2,2,0
1,normal,150,213,productcatalogservice,server,53,2,2,2,0
1,normal,150,213,recommendationservice,server,51,2,2,2,0
1,normal,150,213,redis-cart,-,,1,1,1,0
1,normal,150,213,shippingservice,server,49,2,2,2,0
1,normal,150,228,adservice,server,42,2,2,2,0
1,normal,150,228,cartservice,server,66,2,2,2,0
1,normal,150,228,checkoutservice,checkout,58,2,2,2,0
1,normal,150,228,currencyservice,server,62,2,2,2,0
1,normal,150,228,emailservice,email,63,2,2,2,0
1,normal,150,228,frontend,server,55,2,2,2,0
1,normal,150,228,paymentservice,payment,64,2,2,2,0
1,normal,150,228,productcatalogservice,server,53,2,2,2,0
1,normal,150,228,recommendationservice,server,51,2,2,2,0
1,normal,150,228,redis-cart,-,,1,1,1,0
1,normal,150,228,shippingservice,server,57,2,2,2,0
1,normal,150,243,adservice,server,42,2,2,2,0
1,normal,150,243,cartservice,server,65,2,2,2,0
1,normal,150,243,checkoutservice,checkout,58,2,2,2,0
1,normal,150,243,currencyservice,server,61,2,2,2,0
1,normal,150,243,emailservice,email,62,2,2,2,0
1,normal,150,243,frontend,server,56,2,2,2,0
1,normal,150,243,paymentservice,payment,63,2,2,2,0
1,normal,150,243,productcatalogservice,server,53,2,2,2,0
1,normal,150,243,recommendationservice,server,52,2,2,2,0
1,normal,150,243,redis-cart,-,,1,1,1,0
1,normal,150,243,shippingservice,server,54,2,2,2,0
1,normal,150,258,adservice,server,42,2,2,2,0
1,normal,150,258,cartservice,server,61,2,2,2,0
1,normal,150,258,checkoutservice,checkout,57,2,2,2,0
1,normal,150,258,currencyservice,server,62,2,2,2,0
1,normal,150,258,emailservice,email,62,2,2,2,0
1,normal,150,258,frontend,server,54,2,2,2,0
1,normal,150,258,paymentservice,payment,59,2,2,2,0
1,normal,150,258,productcatalogservice,server,53,2,2,2,0
1,normal,150,258,recommendationservice,server,53,2,2,2,0
1,normal,150,258,redis-cart,-,,1,1,1,0
1,normal,150,258,shippingservice,server,54,2,2,2,0
1,normal,150,274,adservice,server,44,2,2,2,0
