cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,normal,100,100.0,0,0,276.8,1245.0,7.43,0.0,13.5,26,0,1179.0,81.58,54.93,267.5,287.9,275.7,1157.0,1118.0,1561.1,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:5 paymentservice:1 productcatalogservice:4 recommendationservice:5 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:5 paymentservice:1 productcatalogservice:4 recommendationservice:5 redis-cart:1 shippingservice:1,no,0,0,0,0,0,0.3333,0.3333,1778.8,0.0,7.412,16
1,normal,100,100.0,3024,0,396.7,1398.8,9.11,0.0,11.0,32,0,1522.8,100.4,74.76,388.7,393.1,401.3,1367.9,1380.1,1430.8,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:5 recommendationservice:8 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:5 checkoutservice:1 currencyservice:1 emailservice:1 frontend:7 paymentservice:1 productcatalogservice:5 recommendationservice:8 redis-cart:1 shippingservice:1,no,300,300.0,0,387.5,1369.2,0.3333,0.3333,2187.4,0.0,9.114,16
