cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x
1,frontcatalog,300,279.3,13726,0,2071.6,6265.2,14.13,3.0,19.8,33,7,12.0298,2.76,0.48,0.2,2051.4,1986.6,2168.1,6192.5,6196.2,6585.5,emailservice/email=28%;paymentservice/payment=16%;emailservice/email=15%;paymentservice/payment=15%;cartservice/server=6%,adservice:3 cartservice:4 checkoutservice:4 currencyservice:5 emailservice:3 frontend:3 paymentservice:4 recommendationservice:2 redis-cart:1 shippingservice:3,0
2,frontcatalog,300,300.0,82,0,312.5,1067.2,14.14,2.48,21.2,37,2,11.9397,2.61,0.48,0.0,298.7,271.3,358.8,837.7,692.1,1274.1,emailservice/email=15%;emailservice/email=14%;emailservice/email=10%;frontend/server=2%;paymentservice/payment=2%,adservice:4 cartservice:4 checkoutservice:4 currencyservice:4 emailservice:5 frontend:3 paymentservice:5 recommendationservice:3 redis-cart:1 shippingservice:4,0
3,frontcatalog,300,300.0,13,0,219.9,777.1,14.08,2.02,21.3,34,5,10.9809,2.4,0.45,0.1,217.8,214.8,227.0,794.2,561.0,1002.4,emailservice/email=39%;adservice/server=17%;cartservice/server=17%;cartservice/server=5%;emailservice/email=3%,adservice:3 cartservice:4 checkoutservice:4 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:4 redis-cart:1 shippingservice:4,0
