cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x
1,frontcatalog,250,250,0,0,15.2,746.0,12.53,0.0,20.0,30,0,9.3293,2.48,0.36,0.1,11.6,13.2,19.5,769.5,335.0,887.8,emailservice/email=15%;emailservice/email=13%;frontend/server=12%;frontend/server=4%;emailservice/email=3%,adservice:3 cartservice:3 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
2,frontcatalog,250,250.0,0,0,17.5,680.7,12.89,0.0,19.4,31,0,9.4677,2.5,0.36,0.1,13.8,15.4,24.2,787.4,446.4,712.9,emailservice/email=46%;adservice/server=41%;adservice/server=36%;adservice/server=34%;emailservice/email=13%,adservice:3 cartservice:4 checkoutservice:3 currencyservice:3 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
3,frontcatalog,250,250.0,0,0,17.2,628.5,13.48,0.0,18.5,33,0,9.7359,2.55,0.36,0.1,13.5,15.0,24.0,667.9,268.2,800.4,adservice/server=49%;emailservice/email=49%;frontend/server=13%;adservice/server=8%;frontend/server=8%,adservice:4 cartservice:4 checkoutservice:3 currencyservice:4 emailservice:4 frontend:3 paymentservice:4 recommendationservice:3 redis-cart:1 shippingservice:3,0
