cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x,dropped_win,started
2,normal,150,150.0,0,0,8.4,619.0,8.8,0.0,17.0,16,0,5.1796,2.6,0.22,0.0,6.5,7.2,9.5,771.7,483.2,437.5,frontend/server=27%;emailservice/email=4%;productcatalogservice/server=3%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
2,normal,200,200.0,0,0,9.7,587.8,11.04,0.0,18.1,19,0,6.8358,2.76,0.28,0.0,7.2,8.3,11.1,789.9,474.1,511.3,frontend/server=6%;frontend/server=5%;emailservice/email=5%;productcatalogservice/server=1%;paymentservice/payment=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
2,normal,250,250.0,507,0,16.3,657.7,12.65,0.0,19.8,22,0,8.2372,2.48,0.37,0.1,12.6,14.7,21.8,765.9,392.5,705.5,productcatalogservice/server=61%;emailservice/email=33%;frontend/server=5%;frontend/server=2%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,60001
2,frontcatalog,150,150.0,0,0,7.4,441.2,8.6,0.0,17.4,13,0,5.0379,2.22,0.21,0.1,6.0,6.5,9.0,641.8,409.1,372.0,frontend/server=14%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
2,frontcatalog,200,200.0,0,0,9.2,527.0,9.96,0.0,20.1,16,0,6.7099,2.32,0.29,0.0,6.9,8.1,10.8,811.0,339.5,401.8,frontend/server=6%;emailservice/email=4%;frontend/server=3%;cartservice/server=1%;paymentservice/payment=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
2,frontcatalog,250,245.3,2246,0,1094.7,4533.8,13.33,0.0,18.4,21,0,8.8707,2.4,0.39,0.1,950.7,902.8,1924.4,3854.2,3853.5,5042.4,emailservice/email=39%;frontend/server=8%;frontend/server=6%;cartservice/server=5%;paymentservice/payment=3%,adservice:1 cartservice:4 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 recommendationservice:3 redis-cart:1 shippingservice:2,0,1130,58870
2,frontreco,150,150.0,0,0,8.3,575.9,8.6,0.0,17.4,13,0,5.1801,2.6,0.22,0.1,6.4,7.2,9.5,764.8,492.0,404.3,frontend/server=23%;productcatalogservice/server=2%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,36001
2,frontreco,200,199.2,184,0,40.2,2124.4,11.78,0.0,16.9,17,0,7.3157,2.66,0.31,0.1,34.9,33.7,66.9,2116.5,2094.9,2201.4,productcatalogservice/server=59%;cartservice/server=20%;emailservice/email=12%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,183,47817
2,frontreco,250,250.0,0,0,34.2,885.4,12.65,0.0,19.8,19,0,8.4725,2.43,0.36,0.2,26.8,27.5,77.0,765.3,394.9,1087.4,productcatalogservice/server=78%;emailservice/email=40%;frontend/server=6%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 redis-cart:1 shippingservice:1,0,0,60001
2,frontcart,150,150.0,0,0,8.5,764.5,8.6,0.0,17.4,13,0,5.0635,2.55,0.22,0.0,6.5,7.2,9.5,839.1,499.7,974.5,frontend/server=29%;productcatalogservice/server=4%;emailservice/email=2%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
2,frontcart,200,199.5,122,0,453.0,1535.9,11.78,0.0,16.9,17,0,7.9584,2.75,0.32,0.2,447.6,427.3,489.4,1512.8,1539.0,1585.5,productcatalogservice/server=91%;emailservice/email=13%;frontend/server=1%;frontend/server=1%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,0,109,47891
2,frontcart,250,250,0,0,26.0,743.4,12.45,0.0,20.1,18,0,8.5054,2.47,0.37,0.1,20.0,22.6,41.7,715.3,303.2,902.4,productcatalogservice/server=72%;emailservice/email=24%;frontend/server=2%;paymentservice/payment=1%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,60000
3,normal,150,150.0,0,0,8.4,521.9,8.6,0.0,17.4,15,0,5.1619,2.64,0.22,0.0,6.4,7.1,9.4,729.8,479.4,398.4,frontend/server=29%;productcatalogservice/server=3%;cartservice/server=1%;emailservice/email=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36001
3,normal,200,200.0,0,0,72.9,676.2,11.04,0.0,18.1,19,0,7.0855,2.76,0.29,0.0,67.1,67.7,83.2,722.1,478.5,824.6,productcatalogservice/server=43%;frontend/server=12%;frontend/server=11%;emailservice/email=7%;cartservice/server=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
3,normal,250,250.0,897,0,16.3,783.7,12.65,0.0,19.8,22,0,8.3181,2.56,0.35,0.1,12.6,14.8,21.4,772.7,281.0,968.6,productcatalogservice/server=29%;emailservice/email=28%;frontend/server=18%;frontend/server=15%;paymentservice/payment=2%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,60001
3,frontcatalog,150,150,0,0,8.5,608.2,8.6,0.0,17.4,13,0,5.1094,2.21,0.21,0.0,6.4,7.1,9.5,777.8,498.1,412.2,frontend/server=31%;frontend/productcatalog=3%;emailservice/email=2%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36000
3,frontcatalog,200,200.0,0,0,10.1,682.5,9.96,0.0,20.1,16,0,6.6069,2.28,0.28,0.0,7.4,8.5,11.4,832.4,387.6,439.1,frontend/server=7%;frontend/server=6%;emailservice/email=5%;paymentservice/payment=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
3,frontcatalog,250,250.0,337,0,946.3,1626.8,12.97,0.0,19.3,20,0,8.5995,2.36,0.36,0.0,932.5,929.7,984.2,1076.3,1077.0,1852.2,emailservice/email=26%;frontend/server=3%;paymentservice/payment=3%;frontend/server=2%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 recommendationservice:3 redis-cart:1 shippingservice:2,0,0,60001
3,frontreco,150,150,0,0,7.5,461.4,8.6,0.0,17.4,13,0,5.1278,2.61,0.21,0.0,6.1,6.7,9.0,669.2,410.9,301.2,frontend/server=12%;productcatalogservice/server=2%;emailservice/email=1%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,36000
3,frontreco,200,200.0,0,0,8.1,446.4,9.96,0.0,20.1,16,0,6.8811,2.71,0.29,0.0,6.5,7.6,10.3,685.8,204.3,306.1,emailservice/email=9%;frontend/server=1%;frontend/server=1%,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,48001
3,frontreco,250,250.0,0,0,12.9,620.1,13.77,0.0,18.2,21,0,8.8235,2.72,0.37,0.1,9.8,11.6,16.3,743.8,288.1,632.0,emailservice/email=30%;frontend/server=10%;frontend/server=6%;productcatalogservice/server=2%;paymentservice/payment=2%,adservice:1 cartservice:3 checkoutservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 redis-cart:1 shippingservice:2,0,0,60001
3,frontcart,150,150,0,0,8.7,589.5,8.6,0.0,17.4,13,0,5.1289,2.5,0.21,0.0,6.6,7.4,9.7,763.2,492.5,399.8,frontend/server=34%;productcatalogservice/server=3%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,36000
3,frontcart,200,200.0,0,0,45.1,703.4,11.04,0.0,18.1,16,0,6.8254,2.65,0.28,0.1,40.7,38.5,57.7,649.5,462.8,939.8,productcatalogservice/server=40%;frontend/server=11%;frontend/server=11%;emailservice/email=7%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001
3,frontcart,250,250.0,1229,0,156.5,1757.6,12.45,0.0,20.1,18,0,8.4404,2.41,0.39,0.1,131.6,133.8,214.9,1786.5,1680.6,1802.2,productcatalogservice/server=94%;emailservice/email=39%;frontend/server=3%;paymentservice/payment=2%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,60001
