cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
1,frontcheckout,100,99.8,51,0,9.9,808.9,10.6,0.0,9.4,16,0,1361.4,108.82,61.78,7.7,7.9,11.3,874.9,582.1,942.7,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,50,23950,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,200,200.0,0,7.3,868.9,1,0,2370.7,0.0,9.878,16
1,frontcheckout,100,100.0,94,0,217.0,684.8,12.0,0.0,8.3,17,0,1607.5,128.99,74.11,223.2,215.8,213.9,798.6,652.9,668.2,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,300,300,0,223.5,844.0,1,0,2879.0,0.0,11.996,16
1,checkoutemail,100,100.0,0,0,6.2,484.0,6.3,0.0,15.9,11,0,824.8,64.9,32.79,5.1,5.9,8.1,727.4,250.7,191.8,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1511.8,0.0,6.299,16
1,checkoutemail,100,100.0,0,0,7.0,424.2,8.04,0.0,12.4,13,0,1004.0,77.41,44.59,6.3,6.2,8.6,639.1,360.2,251.9,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,100,100.0,0,6.3,640.4,1,0,1929.1,0.0,8.038,16
1,checkoutemail,100,100.0,73,0,76.8,739.9,11.68,0.0,8.6,17,0,1383.8,111.75,63.23,80.1,75.8,74.9,860.8,581.2,870.5,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,79.6,867.3,1,0,2802.0,0.0,11.675,16
1,checkoutemail,100,100.0,600,0,9.4,510.5,12.34,0.0,8.1,18,0,1510.1,124.09,66.45,7.9,8.0,11.8,750.5,337.8,269.5,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,no,300,300.0,0,7.5,829.8,1,0,2960.9,0.0,12.337,16
1,catalogcheckout,100,100,0,0,6.3,549.0,5.98,0.0,16.7,11,0,829.6,64.57,35.24,5.1,5.9,8.1,787.0,244.3,198.9,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
1,catalogcheckout,100,100.0,3,0,7.5,547.6,8.04,0.0,12.4,13,0,1015.2,77.53,46.1,6.4,6.3,8.7,730.7,388.0,279.9,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,100,100.0,0,6.4,727.9,1,0,1929.1,0.0,8.038,16
1,catalogcheckout,100,100.0,301,0,190.4,1473.5,11.68,0.0,8.6,17,0,1434.7,116.06,63.74,213.8,186.2,172.8,1455.5,1442.3,1530.6,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,2,23998,adservice:1 cartservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,200,200.0,0,215.7,1459.0,1,0,2720.6,0.0,11.336,16
1,catalogcheckout,100,100.0,3134,0,9.1,769.9,11.68,0.0,8.6,17,0,1521.0,124.43,68.92,7.4,7.6,11.3,837.6,354.6,845.7,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,300,300.0,0,6.9,825.4,1,0,2802.0,0.0,11.675,16
