cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,reserved_cores,eff_iter_per_core,pods,pending,node_cores,softirq_mc_per_iter,replicas
1,normal,200,200.0,0,0,137.8,797.2,12.24,16.3,20,0,6.5334,2.17,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
1,normal,260,232.0,10958,0,5694.9,8234.3,12.44,18.6,20,0,7.8467,2.61,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1
1,frontcatalog,200,199.9,108,0,385.1,1184.8,12.84,15.6,18,0,6.0749,1.72,adservice:3 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1
1,frontcatalog,260,247.9,4703,0,4320.7,6804.3,12.44,19.9,17,0,8.0832,2.22,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
1,frontreco,200,199.7,84,0,13.2,1270.5,13.44,14.9,17,0,6.8285,2.51,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1
1,frontreco,260,260.0,208,0,75.2,1084.0,15.64,16.6,17,1,8.2237,2.2,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1
1,frontcart,200,200.0,0,0.0,482.6,1028.9,12.2,16.4,16,0,5.8297,1.7,adservice:1 checkoutservice:1 currencyservice:2 emailservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1
1,frontcart,260,260.0,0,0,33.4,886.6,14.12,18.4,20,0,9.0369,2.61,adservice:1 checkoutservice:2 currencyservice:2 emailservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:2
