arm,replicas,users,rps,p50,p90,p99,fails,node_cores
normal,4,480,1015.1694484414875,350,730,1200,0,13.583466666666673
normal,3,480,688.1475366539983,690,780,1300,0,8.527666666666732
normal,2,480,929.7971922348547,210,1300,1800,0,10.66786666666669
normal,1,480,680.5794675342291,690,880,1200,0,6.542133333333359
f3perc,4,480,1100.9405506449798,320,580,1100,0,13.781866666666696
f3perc,3,480,1111.7500627528516,350,580,1200,0,13.341666666666665
f3perc,2,480,935.2457521305973,220,1300,1800,0,10.83913333333332
f3perc,1,480,640.4891616565604,700,1000,1400,0,5.99639999999999
