users,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,system_cores,base_system,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,system_mc_per_req,app_mc_per_req,node_mc_per_req
80,normal,42816,0,90,200,750,110.119842107345,238.5657300040939,0.2518666666666667,0.00599999999999999,0.8472000000000004,0.19488888888888972,2.894174774478788,0.017947561717517102,3.973800000000001,0.634555555555557,1.031,2.734,12.056,13.997
80,mega,42858,0,110,200,360,118.16426527933655,238.88340210856754,0.11466666666666651,0.005000000000000109,0.7722666666666664,0.18766666666666618,2.4997579343702117,0.01927018636255739,3.5888,0.6577777777777695,0.459,2.447,10.384,12.27
160,normal,85333,0,170,330,500,180.96294615835743,475.6635515304462,0.38699999999999984,0.005444444444444545,1.2612,0.19300000000000192,4.984318699043644,0.01959620075952347,6.339333333333332,0.6742222222222256,0.802,2.246,10.437,11.91
160,mega,84525,0,160,340,570,177.26852980591212,470.98973080745674,0.19706666666666658,0.004888888888888626,1.1732666666666656,0.19055555555555498,4.68089762748956,0.018622876034250495,5.896466666666667,0.6575555555555573,0.408,2.086,9.899,11.123
240,normal,106664,0,360,560,950,385.55051853209125,594.8512287509009,0.34440000000000015,0.005777777777777969,1.0934666666666661,0.19222222222222263,5.022543595600622,0.018830914041020816,6.362266666666666,0.6637777777777739,0.569,1.515,8.412,9.58
240,mega,104076,0,390,580,760,395.04293669147665,580.6414892535702,0.19640000000000019,0.005222222222222209,1.1266666666666652,0.19377777777777616,4.765714350236827,0.0196310347090193,6.269866666666665,0.6793333333333365,0.329,1.607,8.174,9.628
360,normal,121418,0,500,690,990,516.0055672161166,676.6577496217235,0.3653902562598329,0.004666666666666764,1.1468360843710828,0.2050000000000005,5.2664884784843045,0.01852127229202599,6.73068718167515,0.740444444444442,0.533,1.392,7.756,8.853
360,mega,108762,0,540,810,1300,575.7262959534878,605.5688860381798,0.18973333333333334,0.004666666666666527,1.0442000000000007,0.19444444444444695,4.873575936430869,0.01913916450130014,6.0963333333333285,0.6772222222222314,0.306,1.403,8.016,8.949
