cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,node_cores,app_cores,base_node,base_app,node_mc_per_req,app_mc_per_req,comm_mc_per_req,softirq_cores,system_cores,base_softirq,base_system,softirq_mc_per_req,system_mc_per_req
1,normal,62293,0,48,150,660,76.71026583744582,208.0531875863022,4.11125925925926,2.7450871624294733,0.7194444444444439,0.018391028496528867,16.303,13.106,3.197,0.25303703703703706,0.8826296296296295,0.005555555555555496,0.20844444444444407,1.19,3.24
1,mega,62345,0,35,110,620,59.19905286629032,208.30224937414883,3.612518518518519,2.5429043638448787,0.687555555555553,0.01861786756655976,14.042,12.118,1.924,0.1215185185185185,0.8223333333333337,0.004888888888888883,0.19822222222222208,0.56,2.996
2,normal,61997,0,51,150,740,81.82513830127077,207.07536057037845,3.8355925925925938,2.7162564445518123,0.644777777777776,0.01823733269571136,15.409,13.029,2.38,0.24396296296296296,0.8410370370370375,0.005777777777777792,0.19622222222222263,1.15,3.114
2,mega,61900,0,42,140,830,77.46331666589901,206.57106310860783,3.5064074074074076,2.5076342260602806,0.7293333333333317,0.018274979838984712,13.444,12.051,1.393,0.1180740740740741,0.7934074074074076,0.005222222222222209,0.2163333333333333,0.546,2.794
3,normal,62408,0,51,140,320,71.62331400842783,208.45180895140754,3.9097407407407414,2.8593356750453656,0.6010000000000045,0.017643539211718136,15.873,13.632,2.241,0.2563703703703704,0.863777777777778,0.005444444444444545,0.18922222222222285,1.204,3.236
3,mega,62210,0,74,160,260,84.5023977044827,208.23736044070748,3.990925925925926,2.772759271792547,0.7283333333333318,0.01864544410938223,15.668,13.226,2.442,0.12666666666666665,0.8808888888888889,0.004444444444444231,0.21500000000000086,0.587,3.198
