cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,system_cores,base_system,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,system_mc_per_req,app_mc_per_req,node_mc_per_req
1,frontreco,61775,0,56,170,790,88.05758242119398,206.22185321593588,0.21788888888888863,0.006111111111109342,0.8020370370370411,0.22833333333332523,2.6611945240367287,0.01702977613155946,3.6911111111111055,0.7406666666666406,1.027,2.782,12.822,14.307
2,frontreco,62081,0,48,150,680,77.96161669671096,207.57821717875098,0.22277777777777738,0.0057777777777775745,0.8126296296296325,0.21544444444442784,2.6271627894797858,0.01608736889011989,3.6968148148148323,0.7289999999999225,1.045,2.877,12.579,14.297
3,frontreco,62159,0,34,110,590,59.01334565941034,208.08859307056224,0.24051851851851935,0.005555555555555239,0.8422592592592587,0.21377777777778545,2.5851548558194755,0.016780058985888555,3.7951481481481695,0.7238888888887867,1.129,3.02,12.343,14.759
