cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps
1,normal,133922,0,43,160,650,74.81278701759787,223.32768395548092
1,mega,134206,0,43,110,500,63.23375467260973,223.93938715254131
2,normal,62213,0,60,170,610,87.01424227098617,207.86826674391642
2,mega,62360,0,50,120,260,66.7394131041309,208.59527684554476
3,normal,62363,0,72,170,310,89.2955760782706,208.38627411928854
3,mega,62366,0,33,110,500,55.263180532710884,208.48036982683112
