cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,system_cores,base_system,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,system_mc_per_req,app_mc_per_req,node_mc_per_req
1,front4,62319,0,36,76,290,48.2026252619652,208.50315226243197,0.1691481481481481,0.005777777777778206,0.8127037037037048,0.21100000000001776,2.490504592489298,0.019439617859099166,3.5682962962963094,0.6911111111111091,0.784,2.886,11.851,13.799
2,front4,62362,0,41,91,340,53.439243570927516,208.4855624362823,0.18466666666666798,0.00522222222222063,0.8688518518518524,0.20233333333334383,2.6591403772151145,0.017831848401053004,3.7875185185185383,0.6718888888888562,0.861,3.197,12.669,14.944
3,front4,62399,0,66,150,380,80.00053151270554,208.43263482233053,0.17903703703703716,0.005333333333333219,0.8602592592592542,0.21288888888893778,2.8440952558415025,0.018361484200360885,3.80511111111113,0.6932222222221777,0.833,3.106,13.557,14.93
