cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,system_cores,base_system,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,system_mc_per_req,app_mc_per_req,node_mc_per_req
1,outmail,62375,0,35,110,560,59.477106282313066,208.45631252738616,0.2584444444444443,0.005888888888889217,0.8266296296296296,0.13722222222222372,2.7192420526937826,0.019660310398261976,3.7451111111111075,0.41288888888890807,1.212,3.307,12.95,15.985
2,outmail,62094,0,46,150,700,75.67701551241613,207.52668697290102,0.2434444444444448,0.006444444444444267,0.7891481481481477,0.1663333333333336,2.762815024077661,0.01745954422089015,3.5906666666666656,0.5904444444444515,1.142,3.001,13.229,14.457
3,outmail,62159,0,34,110,600,59.387066626131215,207.75333954894523,0.2501481481481482,0.005888888888888743,0.8127777777777779,0.16877777777777775,2.7154051995021744,0.015996592949183805,3.711666666666667,0.6260000000000088,1.176,3.1,12.993,14.853
