cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,softirq_cores,base_softirq,system_cores,base_system,app_cores,base_app,node_cores,base_node,softirq_mc_per_req,system_mc_per_req,app_mc_per_req,node_mc_per_req
1,paymail,62291,0,51,160,470,78.56086932218976,208.1353983306192,0.252814814814815,0.005555555555555713,0.8600370370370366,0.18999999999999834,2.8852526961709453,0.01709398033613727,3.947925925925926,0.62477777777778,1.188,3.219,13.78,15.966
2,paymail,61847,0,60,170,810,94.23423592484747,206.4370229997262,0.2679629629629629,0.005333333333332903,0.9100370370370364,0.19033333333333327,2.991741400080666,0.016311731812336017,4.189370370370372,0.6061111111111033,1.272,3.486,14.413,17.358
3,paymail,62132,0,61,190,700,94.96152222492695,207.57100706517633,0.25511111111111107,0.004999999999999873,0.8673703703703698,0.18622222222222273,3.0207776481297652,0.016279983107105208,4.002666666666667,0.5964444444444599,1.205,3.282,14.475,16.41
