cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps
1,normal,91082,0,46,130,420,68.51494135045425,217.06908777592665
1,mega,90128,0,60,160,860,88.69998683371394,215.0454501237043
2,normal,90435,0,56,160,780,88.1025737248439,215.47560659151262
2,mega,90085,0,50,150,820,79.92113743918073,214.66093089725672
3,normal,90072,0,51,160,800,85.60329866023396,215.0152568541426
3,mega,90512,0,49,130,730,74.4070866389043,216.11972079815172
