cycle,arm,reqcount,fails,p50_ms,p90_ms,p99_ms,avg_ms,rps,node_cores,app_cores,base_node,base_app,node_mc_per_req,app_mc_per_req,comm_mc_per_req,softirq_cores,system_cores,base_softirq,base_system,softirq_mc_per_req,system_mc_per_req
1,normal,19267,0,77,160,240,88.15398193336266,161.07971847597238,3.564888888888889,2.2346640920117333,0.4063333333333344,0.020168962490066607,19.609,13.748,5.861,0.19755555555555554,0.7501111111111111,0.005444444444444476,0.13811111111111127,1.193,3.799
1,mega,19400,0,70,150,220,79.65419355319987,162.2824757708893,3.0968888888888886,2.1707940937728942,0.3911111111111108,0.02048431952750533,16.673,13.25,3.423,0.10066666666666664,0.6873333333333328,0.005111111111111071,0.13133333333333325,0.589,3.426
