cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99
1,frontreco,100,100.0,6,0,13.1,700.6,11.22,0.0,8.9,15,0,6.3123,4.6,0.27,0.1,10.2,10.4,15.9,748.4,631.4,701.0,productcatalogservice/server=40%;frontend/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,5,23995,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,9.4,748.0
1,frontreco,100,100.0,686,0,688.0,1698.8,13.04,0.0,7.7,16,0,7.821,5.07,0.33,0.1,680.3,658.8,705.7,1666.2,1698.3,1727.6,productcatalogservice/server=98%;emailservice/email=2%;frontend/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:4 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,no,300,300.0,0,603.2,1648.1
1,frontcart,100,100.0,0,0,6.2,474.6,7.2,0.0,13.9,11,0,3.4547,2.69,0.14,0.0,5.1,5.9,8.1,719.2,268.9,225.9,frontend/server=6%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
1,frontcart,100,100.0,0,0,7.3,514.6,8.6,0.0,11.6,13,0,4.3939,3.29,0.19,0.0,5.9,6.4,8.7,720.9,395.5,311.4,frontend/server=17%;productcatalogservice/server=2%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,5.9,723.3
1,frontcart,100,99.9,14,0,9.7,806.8,8.6,0.0,11.6,13,0,5.5422,4.38,0.24,0.1,7.8,7.8,11.7,799.0,402.0,964.8,productcatalogservice/server=22%;frontend/server=4%;frontend/server=4%;emailservice/email=1%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,13,23987,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,7.5,840.9
1,frontcart,100,100.0,112,0,318.6,832.6,11.58,0.0,8.6,16,0,6.9382,5.35,0.31,0.0,323.7,307.0,325.6,788.3,738.5,1081.3,productcatalogservice/server=87%;frontend/server=5%;frontend/server=3%;emailservice/email=2%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,300,300,0,325.1,797.7
1,frontrecocatalog,100,100.0,0,0,5.9,420.5,6.12,0.0,16.3,10,0,3.402,2.11,0.13,0.0,4.9,5.6,7.9,678.0,221.5,206.1,frontend/server=5%;emailservice/email=1%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
1,frontrecocatalog,100,100,0,0,7.2,620.5,8.6,0.0,11.6,11,0,4.1835,2.5,0.19,0.0,5.8,6.2,8.5,807.9,394.1,312.0,frontend/server=15%;cartservice/server=1%;frontend/productcatalog=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,no,100,100,0,5.8,812.3
1,frontrecocatalog,100,100.0,0,0,7.7,490.4,9.4,0.0,10.6,12,0,5.4741,3.32,0.24,0.0,6.3,7.1,9.8,751.1,203.4,134.8,emailservice/email=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,yes,200,200,0,6.2,748.3
1,frontrecocatalog,100,100.0,117,0,8.0,485.3,9.4,0.0,10.6,12,0,6.1889,3.85,0.28,0.0,6.8,7.3,10.4,709.1,232.9,171.1,emailservice/email=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 redis-cart:1 shippingservice:1,no,300,300.0,0,6.4,698.1
